Vardas         Pavard               Galutinis
vardas278      pavarde278           6.00
vardas281      pavarde281           6.00
vardas282      pavarde282           7.00
vardas286      pavarde286           7.00
vardas287      pavarde287           6.00
vardas288      pavarde288           5.00
vardas290      pavarde290           7.00
vardas291      pavarde291           9.00
vardas292      pavarde292           7.00
vardas293      pavarde293           6.00
vardas294      pavarde294           6.00
vardas296      pavarde296           5.00
vardas297      pavarde297           8.00
vardas298      pavarde298           6.00
vardas303      pavarde303           5.00
vardas307      pavarde307           7.00
vardas308      pavarde308           7.00
vardas310      pavarde310           7.00
vardas312      pavarde312           6.00
vardas313      pavarde313           5.00
vardas314      pavarde314           6.00
vardas315      pavarde315           8.00
vardas316      pavarde316           6.00
vardas318      pavarde318           8.00
vardas320      pavarde320           6.00
vardas321      pavarde321           7.00
vardas323      pavarde323           7.00
vardas324      pavarde324           6.00
vardas325      pavarde325           5.00
vardas326      pavarde326           5.00
vardas327      pavarde327           6.00
vardas329      pavarde329           9.00
vardas330      pavarde330           7.00
vardas331      pavarde331           8.00
vardas332      pavarde332           6.00
vardas333      pavarde333           7.00
vardas334      pavarde334           6.00
vardas336      pavarde336           6.00
vardas337      pavarde337           5.00
vardas338      pavarde338           7.00
vardas339      pavarde339           5.00
vardas340      pavarde340           7.00
vardas341      pavarde341           7.00
vardas342      pavarde342           6.00
vardas348      pavarde348           6.00
vardas351      pavarde351           6.00
vardas352      pavarde352           5.00
vardas353      pavarde353           5.00
vardas356      pavarde356           8.00
vardas357      pavarde357           7.00
vardas358      pavarde358           7.00
vardas359      pavarde359           8.00
vardas361      pavarde361           5.00
vardas362      pavarde362           6.00
vardas364      pavarde364           5.00
vardas365      pavarde365           5.00
vardas367      pavarde367           8.00
vardas369      pavarde369           6.00
vardas371      pavarde371           8.00
vardas372      pavarde372           5.00
vardas373      pavarde373           6.00
vardas380      pavarde380           5.00
vardas382      pavarde382           6.00
vardas385      pavarde385           6.00
vardas386      pavarde386           7.00
vardas387      pavarde387           6.00
vardas388      pavarde388           5.00
vardas390      pavarde390           6.00
vardas393      pavarde393           7.00
vardas394      pavarde394           6.00
vardas395      pavarde395           5.00
vardas396      pavarde396           9.00
vardas397      pavarde397           6.00
vardas398      pavarde398           7.00
vardas399      pavarde399           6.00
vardas401      pavarde401           9.00
vardas404      pavarde404           8.00
vardas407      pavarde407           6.00
vardas408      pavarde408           8.00
vardas411      pavarde411           5.00
vardas412      pavarde412          10.00
vardas413      pavarde413           6.00
vardas414      pavarde414           7.00
vardas417      pavarde417           6.00
vardas418      pavarde418           5.00
vardas419      pavarde419           6.00
vardas420      pavarde420           5.00
vardas421      pavarde421           6.00
vardas422      pavarde422           5.00
vardas425      pavarde425           6.00
vardas427      pavarde427           5.00
vardas428      pavarde428          10.00
vardas430      pavarde430           5.00
vardas431      pavarde431           5.00
vardas432      pavarde432           7.00
vardas433      pavarde433           5.00
vardas436      pavarde436           5.00
vardas439      pavarde439           5.00
vardas440      pavarde440           5.00
vardas442      pavarde442           8.00
vardas444      pavarde444           7.00
vardas445      pavarde445           8.00
vardas446      pavarde446           6.00
vardas450      pavarde450           5.00
vardas451      pavarde451           7.00
vardas452      pavarde452           5.00
vardas455      pavarde455           7.00
vardas456      pavarde456           5.00
vardas458      pavarde458           5.00
vardas459      pavarde459           5.00
vardas460      pavarde460           7.00
vardas461      pavarde461           6.00
vardas462      pavarde462           7.00
vardas463      pavarde463           8.00
vardas464      pavarde464           8.00
vardas465      pavarde465           9.00
vardas466      pavarde466           9.00
vardas467      pavarde467           5.00
vardas468      pavarde468           6.00
vardas471      pavarde471           9.00
vardas473      pavarde473           7.00
vardas474      pavarde474           6.00
vardas475      pavarde475           7.00
vardas477      pavarde477           9.00
vardas478      pavarde478           7.00
vardas480      pavarde480           6.00
vardas481      pavarde481           5.00
vardas483      pavarde483           7.00
vardas486      pavarde486           5.00
vardas487      pavarde487           5.00
vardas488      pavarde488           5.00
vardas489      pavarde489           6.00
vardas490      pavarde490           5.00
vardas491      pavarde491           7.00
vardas492      pavarde492           5.00
vardas494      pavarde494           5.00
vardas496      pavarde496           9.00
vardas498      pavarde498           5.00
vardas499      pavarde499           6.00
vardas501      pavarde501           7.00
vardas502      pavarde502           8.00
vardas503      pavarde503           6.00
vardas507      pavarde507           6.00
vardas509      pavarde509           8.00
vardas510      pavarde510           7.00
vardas511      pavarde511           6.00
vardas512      pavarde512           7.00
vardas514      pavarde514           5.00
vardas517      pavarde517           5.00
vardas518      pavarde518           6.00
vardas519      pavarde519           6.00
vardas520      pavarde520           6.00
vardas521      pavarde521           5.00
vardas522      pavarde522           5.00
vardas524      pavarde524           6.00
vardas526      pavarde526           6.00
vardas527      pavarde527           6.00
vardas528      pavarde528           5.00
vardas530      pavarde530           8.00
vardas532      pavarde532           5.00
vardas534      pavarde534           9.00
vardas535      pavarde535           5.00
vardas536      pavarde536           5.00
vardas542      pavarde542           6.00
vardas543      pavarde543           5.00
vardas547      pavarde547           5.00
vardas550      pavarde550           9.00
vardas552      pavarde552           5.00
vardas553      pavarde553           5.00
vardas555      pavarde555           7.00
vardas557      pavarde557           7.00
vardas558      pavarde558           7.00
vardas562      pavarde562           8.00
vardas563      pavarde563           7.00
vardas567      pavarde567           6.00
vardas568      pavarde568           6.00
vardas569      pavarde569           6.00
vardas570      pavarde570           7.00
vardas571      pavarde571           5.00
vardas572      pavarde572           6.00
vardas573      pavarde573           7.00
vardas575      pavarde575           5.00
vardas577      pavarde577           9.00
vardas580      pavarde580           5.00
vardas584      pavarde584           5.00
vardas585      pavarde585           5.00
vardas586      pavarde586           5.00
vardas588      pavarde588           9.00
vardas589      pavarde589           6.00
vardas591      pavarde591           6.00
vardas592      pavarde592           8.00
vardas595      pavarde595           7.00
vardas598      pavarde598           5.00
vardas599      pavarde599           8.00
vardas601      pavarde601           9.00
vardas602      pavarde602           7.00
vardas603      pavarde603           5.00
vardas605      pavarde605           5.00
vardas608      pavarde608           5.00
vardas609      pavarde609           5.00
vardas611      pavarde611           6.00
vardas613      pavarde613           6.00
vardas614      pavarde614           6.00
vardas617      pavarde617           6.00
vardas618      pavarde618           7.00
vardas619      pavarde619           6.00
vardas621      pavarde621           5.00
vardas622      pavarde622           6.00
vardas623      pavarde623           5.00
vardas626      pavarde626           6.00
vardas627      pavarde627           7.00
vardas629      pavarde629           6.00
vardas630      pavarde630           5.00
vardas631      pavarde631           9.00
vardas633      pavarde633           5.00
vardas634      pavarde634           5.00
vardas635      pavarde635           5.00
vardas636      pavarde636           6.00
vardas638      pavarde638           7.00
vardas640      pavarde640           5.00
vardas641      pavarde641           9.00
vardas642      pavarde642           5.00
vardas644      pavarde644           7.00
vardas646      pavarde646           8.00
vardas647      pavarde647           8.00
vardas648      pavarde648           6.00
vardas649      pavarde649           9.00
vardas652      pavarde652           8.00
vardas655      pavarde655           7.00
vardas656      pavarde656           8.00
vardas657      pavarde657           7.00
vardas659      pavarde659           9.00
vardas660      pavarde660           6.00
vardas661      pavarde661           6.00
vardas662      pavarde662           7.00
vardas665      pavarde665           5.00
vardas667      pavarde667           5.00
vardas668      pavarde668           5.00
vardas670      pavarde670           8.00
vardas672      pavarde672           7.00
vardas676      pavarde676           9.00
vardas677      pavarde677           6.00
vardas679      pavarde679           5.00
vardas681      pavarde681           7.00
vardas682      pavarde682           5.00
vardas685      pavarde685           8.00
vardas686      pavarde686           5.00
vardas688      pavarde688           5.00
vardas689      pavarde689           5.00
vardas693      pavarde693           6.00
vardas696      pavarde696           7.00
vardas698      pavarde698           8.00
vardas699      pavarde699           7.00
vardas700      pavarde700           8.00
vardas703      pavarde703           6.00
vardas706      pavarde706           7.00
vardas707      pavarde707           9.00
vardas708      pavarde708           5.00
vardas711      pavarde711           6.00
vardas712      pavarde712           5.00
vardas713      pavarde713           6.00
vardas715      pavarde715           5.00
vardas716      pavarde716           5.00
vardas717      pavarde717           5.00
vardas719      pavarde719           7.00
vardas720      pavarde720           8.00
vardas721      pavarde721           7.00
vardas722      pavarde722           5.00
vardas724      pavarde724           7.00
vardas725      pavarde725           5.00
vardas727      pavarde727           7.00
vardas728      pavarde728           7.00
vardas730      pavarde730           6.00
vardas731      pavarde731           6.00
vardas734      pavarde734           7.00
vardas735      pavarde735           5.00
vardas736      pavarde736           7.00
vardas739      pavarde739           6.00
vardas740      pavarde740           5.00
vardas741      pavarde741           7.00
vardas742      pavarde742           5.00
vardas743      pavarde743           5.00
vardas744      pavarde744           6.00
vardas746      pavarde746           8.00
vardas747      pavarde747           7.00
vardas748      pavarde748           7.00
vardas749      pavarde749           5.00
vardas750      pavarde750           6.00
vardas752      pavarde752           9.00
vardas753      pavarde753           8.00
vardas754      pavarde754           7.00
vardas756      pavarde756           6.00
vardas757      pavarde757           8.00
vardas763      pavarde763           6.00
vardas764      pavarde764           6.00
vardas768      pavarde768           6.00
vardas769      pavarde769           7.00
vardas770      pavarde770           5.00
vardas771      pavarde771           7.00
vardas772      pavarde772          10.00
vardas773      pavarde773           5.00
vardas774      pavarde774           7.00
vardas775      pavarde775           7.00
vardas776      pavarde776           5.00
vardas777      pavarde777           9.00
vardas778      pavarde778           6.00
vardas779      pavarde779           5.00
vardas780      pavarde780           5.00
vardas782      pavarde782           6.00
vardas783      pavarde783           8.00
vardas786      pavarde786           7.00
vardas787      pavarde787           6.00
vardas788      pavarde788           7.00
vardas790      pavarde790           6.00
vardas795      pavarde795           6.00
vardas797      pavarde797           8.00
vardas798      pavarde798           5.00
vardas800      pavarde800           7.00
vardas802      pavarde802           5.00
vardas804      pavarde804           9.00
vardas805      pavarde805           7.00
vardas806      pavarde806           5.00
vardas808      pavarde808           7.00
vardas809      pavarde809           5.00
vardas814      pavarde814           7.00
vardas815      pavarde815           6.00
vardas817      pavarde817           6.00
vardas820      pavarde820           6.00
vardas821      pavarde821           5.00
vardas822      pavarde822           6.00
vardas823      pavarde823           6.00
vardas824      pavarde824           5.00
vardas825      pavarde825           5.00
vardas826      pavarde826           6.00
vardas827      pavarde827           8.00
vardas831      pavarde831           5.00
vardas833      pavarde833           7.00
vardas834      pavarde834           6.00
vardas835      pavarde835           5.00
vardas837      pavarde837           9.00
vardas838      pavarde838           5.00
vardas840      pavarde840           6.00
vardas841      pavarde841           7.00
vardas842      pavarde842           9.00
vardas846      pavarde846           6.00
vardas847      pavarde847           6.00
vardas848      pavarde848           9.00
vardas851      pavarde851           7.00
vardas853      pavarde853          10.00
vardas857      pavarde857           8.00
vardas858      pavarde858           5.00
vardas860      pavarde860           6.00
vardas861      pavarde861           7.00
vardas864      pavarde864           6.00
vardas866      pavarde866           7.00
vardas867      pavarde867           5.00
vardas868      pavarde868           8.00
vardas869      pavarde869           6.00
vardas871      pavarde871           8.00
vardas873      pavarde873           5.00
vardas874      pavarde874           6.00
vardas875      pavarde875          10.00
vardas876      pavarde876           7.00
vardas877      pavarde877           8.00
vardas878      pavarde878           5.00
vardas880      pavarde880           5.00
vardas885      pavarde885           7.00
vardas889      pavarde889           9.00
vardas892      pavarde892           7.00
vardas894      pavarde894           7.00
vardas897      pavarde897           6.00
vardas898      pavarde898           6.00
vardas899      pavarde899           8.00
vardas900      pavarde900           6.00
vardas902      pavarde902           6.00
vardas903      pavarde903           5.00
vardas906      pavarde906           9.00
vardas908      pavarde908           9.00
vardas909      pavarde909           5.00
vardas911      pavarde911           9.00
vardas914      pavarde914           6.00
vardas916      pavarde916           9.00
vardas917      pavarde917           8.00
vardas918      pavarde918           5.00
vardas920      pavarde920           6.00
vardas921      pavarde921           5.00
vardas922      pavarde922           5.00
vardas926      pavarde926           8.00
vardas927      pavarde927           6.00
vardas929      pavarde929           5.00
vardas930      pavarde930           7.00
vardas933      pavarde933           8.00
vardas934      pavarde934           5.00
vardas938      pavarde938           9.00
vardas939      pavarde939           7.00
vardas941      pavarde941           9.00
vardas942      pavarde942          10.00
vardas946      pavarde946           8.00
vardas947      pavarde947           5.00
vardas948      pavarde948           5.00
vardas950      pavarde950           5.00
vardas951      pavarde951           7.00
vardas952      pavarde952           6.00
vardas954      pavarde954           8.00
vardas955      pavarde955           6.00
vardas956      pavarde956           6.00
vardas957      pavarde957           6.00
vardas958      pavarde958           5.00
vardas959      pavarde959           7.00
vardas960      pavarde960           6.00
vardas963      pavarde963           8.00
vardas964      pavarde964           8.00
vardas965      pavarde965           7.00
vardas967      pavarde967           5.00
vardas968      pavarde968           9.00
vardas970      pavarde970           5.00
vardas971      pavarde971           9.00
vardas972      pavarde972           8.00
vardas973      pavarde973           5.00
vardas974      pavarde974           8.00
vardas975      pavarde975           5.00
vardas976      pavarde976           6.00
vardas977      pavarde977           6.00
vardas978      pavarde978           6.00
vardas980      pavarde980           9.00
vardas984      pavarde984           7.00
vardas985      pavarde985           8.00
vardas989      pavarde989           5.00
vardas994      pavarde994           7.00
vardas996      pavarde996           6.00
vardas997      pavarde997           6.00
vardas999      pavarde999           6.00
vardas1000     pavarde1000          7.00
